,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
383,383,"Non-Alcoholic Beer Bottle - Malt Beverage, Pomegranate Flavour",Barbican ,120.0,102.0,18.0,15.0,330 ml ,330 ml ,330 ml ,330.0,0.3090909090909091
384,384,Fruit Juice - Masala Guava,Real,280.0,137.2,142.8,51.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.0686
385,385,Instant Coffee - Extra Strong,Narasus,880.0,880.0,0.0,0.0,1 Kg ,1 Kg ,1 Kg ,1000.0,0.88
386,386,Neem Juice,Kapiva,349.0,300.14,48.860000000000014,14.0,1 L ,1 L ,1 L ,1000.0,0.30013999999999996
387,387,Sharbat-E-Azam,Dabur,170.0,161.5,8.5,5.0,750 ml ,750 ml ,750 ml ,750.0,0.21533333333333332
388,388,Non Alcoholic Wine White,Carl Jung,650.0,650.0,0.0,0.0,700 ml ,700 ml ,700 ml ,700.0,0.9285714285714286
389,389,Gooseberry Unjunked Energy Drink,Open Secret,20.0,20.0,0.0,0.0,250 ml - Bottle,250 ml ,250 ml ,250.0,0.08
390,390,"Swing Juicer Drink - Lush Lychee, Thick & Flavourful, Ready To Serve",Paperboat Swing,20.0,20.0,0.0,0.0,250 ml - Pouch,250 ml ,250 ml ,250.0,0.08
391,391,Vegan Protein Powder For Men & Women - Kesar Badam Flavour,Auric,960.0,566.4,393.6,41.0,36 g - (8 Sachets),36 g ,36 g ,36.0,15.733333333333333
392,392,Mixed Fruit Cold Pressed Juice - 100% Natural,Raw Pressery,500.0,465.0,35.0,7.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.2325
393,393,Syrup - Green Apple,Monin,695.0,695.0,0.0,0.0,700 ml - Bottle,700 ml ,700 ml ,700.0,0.9928571428571429
394,394,Sicilian Lemon & Lime Kombucha - Probiotic,Borecha,160.0,160.0,0.0,0.0,330 ml ,330 ml ,330 ml ,330.0,0.48484848484848486
395,395,Ultra Energy Drink - Zero Sugar,Monster,125.0,125.0,0.0,0.0,350 ml ,350 ml ,350 ml ,350.0,0.35714285714285715
396,396,Pomegranate Mint Kombucha,Dad's Hack,1194.0,1014.9,179.10000000000002,15.0,330mlx6 - Multipack,330ml*6 ,330ml*6 ,330.0,3.075454545454545
397,397,"Organic Tulsi Green Tea - Jasmine, Stress Relieving",Organic India,215.0,206.4,8.599999999999994,4.0,45 g - (25 Bags x 1.8 g each),45 g ,45 g ,45.0,4.586666666666667
398,398,Clear & Light Green Tea,Lipton,625.0,562.5,62.5,10.0,1.3 g - (100 Bags x 1.3 g Each),1.3 g ,1.3 g ,1.3,432.6923076923077
399,399,Aloe Vera Juice,Kapiva,598.0,538.2,59.799999999999955,10.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.2691
400,400,Hot Brew Coffee - Original (20 Bags x 15 g each),Sleepy Owl,700.0,700.0,0.0,0.0,300 g - Multipack,300 g ,300 g ,300.0,2.3333333333333335
401,401,Royal Cup Tea,Girnar,290.0,290.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.58
402,402,Coconut Water,Mojoco,900.0,900.0,0.0,0.0,6 x 1 L - Multipack,6*1 L ,6 L,6000.0,0.15
403,403,"Mama Health & Nutritional Drink Mix - For Pregnant & Breastfeeding Mothers, Chocolate Flavour",Protinex ,610.0,550.0,60.0,9.84,400 g - Jar,400 g ,400 g ,400.0,1.375
404,404,Fruit Power Juice - Peach,Real,220.0,202.0,18.0,8.18,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.101
405,405,Sri Sri Tattva - Health Drink -  Ojasvita Strawberry PETjar,Sri Sri Tattva,505.0,505.0,0.0,0.0,1 kg - Tin,1 kg ,1 kg ,1000.0,0.505
406,406,Syrup - Triple Sec,Monin,955.0,955.0,0.0,0.0,700 ml - Bottle,700 ml ,700 ml ,700.0,1.3642857142857143
407,407,"100% Fruit Juice - Pomegranate/Anar, Rich In Vitamin C, No Added Sugar & No Preservatives",Storia,170.0,120.7,49.3,29.0,750 ml - Pet Bottle,750 ml ,750 ml ,750.0,0.16093333333333334
408,408,"Black Alkaline Drinking - Hydrating, Rich In Essential Minerals",evocus,60.0,60.0,0.0,0.0,250 ml ,250 ml ,250 ml ,250.0,0.24
409,409,Water-based Electrolyte Drink,Alkalen,60.0,60.0,0.0,0.0,1000 ml ,1000 ml ,1000 ml ,1000.0,0.06
410,410,Green Tea & Mint,Twinings,314.0,314.0,0.0,0.0,50 g - (25 Bags x 2 g each),50 g ,50 g ,50.0,6.28
411,411,"Organic Green Tea - Sunny Lemony, Grown In Nilgiris, Zero Calories, Rich In Antioxidants, Rich In Vitamin C",Eco Valley ,185.0,165.0,20.0,10.81,42.5 g - (25 Bags x 1.7 g),42.5 g ,42.5 g ,42.5,3.8823529411764706
412,412,Syrup - Strawberry,Hersheys ,480.0,456.0,24.0,5.0,2x623 g - Multipack,2*623 g ,1246 g,1246.0,0.36597110754414125
413,413,Non Alcoholic Beer - Strawberry,Coolberg,474.0,411.0,63.0,13.29,6x330 ml - Multipack,6*330 ml ,1980 ml,1980.0,0.20757575757575758
414,414,Rooibos Herbal Tea - Helps To Detox The System,Teamonk,750.0,750.0,0.0,0.0,2 g - (50 Bags x 2 g Each),2 g ,2 g ,2.0,375.0
415,415,10% Extra Strong Leaves - Special Blend Black Tea,Tata Tea Agni,335.0,335.0,0.0,0.0,1.5 kg - Pouch,1.5 kg ,1.5 kg ,1500.0,0.22333333333333333
416,416,Silver Oak Medium Roast French Press Arabica Ground Coffee,Blue Tokai,470.0,470.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,1.88
417,417,Cold Extracted Juice - Grapefruit,Raw Pressery,1000.0,900.0,100.0,10.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.45
418,418,Classic Cold Coffee - Liquid Concentrate,Tata Coffee,500.0,380.0,120.0,24.0,400 ml - (20 Sachets x 20 ml),400 ml ,400 ml ,400.0,0.95
419,419,Premium Tea - Strong Flavour With Long Lasting Taste,Tata Tea Chakra Gold,730.0,620.5,109.5,15.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.6205
420,420,Sukku Coffee,Narasus,92.0,92.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.46
421,421,Green Tea - Honey Lemon,WaghBakri,150.0,114.0,36.0,24.0,37.5 g - (25 Bags x 1.5 g each),37.5 g ,37.5 g ,37.5,3.04
422,422,Aloe Vera Triphala Juice,Sri Sri Tattva,170.0,170.0,0.0,0.0,500 ml ,500 ml ,500 ml ,500.0,0.34
423,423,First Flush Darjeeling Black Tea - With Intense Fruity Flavour,Dorje,999.0,499.5,499.5,50.0,250 g ,250 g ,250 g ,250.0,1.998
424,424,FRUTORS - Orange,Real,42.0,39.9,2.1000000000000014,5.0,200 ml ,200 ml ,200 ml ,200.0,0.19949999999999998
425,425,Assam Dust Tea,Tata Tea Agni,260.0,260.0,0.0,0.0,1 kg ,1 kg ,1 kg ,1000.0,0.26
426,426,Organic Tea,Phalada Pure & Sure,215.0,215.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,0.86
427,427,Spiced Tea,WaghBakri,300.0,300.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.6
428,428,Chamomile Mint Citrus Green Tea - Rich In Antioxidants & Helps Boost Immunity,Vahdam ,600.0,420.0,180.0,30.0,2 g - (50 Bags x 2g Each),2 g ,2 g ,2.0,210.0
429,429,Non Alcoholic Beer - Ginger,Coolberg,534.0,465.0,69.0,12.92,6x330 ml - Multipack,6*330 ml ,1980 ml,1980.0,0.23484848484848486
430,430,Hibiscus Lime Kombucha,Bombucha,260.0,260.0,0.0,0.0,500 ml - Bottle,500 ml ,500 ml ,500.0,0.52
431,431,Syrup - Grenadine,Monin,895.0,895.0,0.0,0.0,700 ml - Bottle,700 ml ,700 ml ,700.0,1.2785714285714285
432,432,Tea - Fresh Lemon,Taj Mahal,160.0,160.0,0.0,0.0,50 g - (25 Bags x 2 g each),50 g ,50 g ,50.0,3.2
433,433,Infusion Tea - Tulsi Mulethi,Organic India,195.0,187.2,7.800000000000011,4.0,45 g - (25 Bags x 1.8 g each),45 g ,45 g ,45.0,4.16
434,434,Detox Green Tea With Moroccan Mint & Tulsi,Roshi,220.0,187.0,33.0,15.0,42.5 g - (25 Bags x 1.7 g Each),42.5 g ,42.5 g ,42.5,4.4
435,435,Tulsi  Green Tea - Classic,Organic India,265.0,254.4,10.599999999999994,4.0,100 g ,100 g ,100 g ,100.0,2.544
436,436,Orange Juice With Aloe Vera,Alo Frut,120.0,120.0,0.0,0.0,1 L ,1 L ,1 L ,1000.0,0.12
437,437,Lactogrow Nutritious Milk Drink For Growing Children - Immunity System Functioning & Growth,Nestle ,390.0,390.0,0.0,0.0,400 g - Bag-In-Box,400 g ,400 g ,400.0,0.975
438,438,South Indian Filter Blend - Medium Dark Roast Ground,Blue Tokai,440.0,440.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,1.76
439,439,High Protein Health Drink Vanilla,Ensure,880.0,880.0,0.0,0.0,400 g - Box,400 g ,400 g ,400.0,2.2
440,440,Instant Coffee - Strong,Continental,825.0,783.75,41.25,5.0,1 Kg - Pouch,1 Kg ,1 Kg ,1000.0,0.78375
441,441,"Premium Sparkling Mixer - Mint Mojito, Carbonated Water",Schweppes,300.0,240.0,60.0,20.0,4x300 ml - Multipack,4*300 ml ,1200 ml,1200.0,0.2
442,442,Syrup - Peach Tea with Natural Tea Extracts,Monin,395.0,395.0,0.0,0.0,250 ml - Bottle,250 ml ,250 ml ,250.0,1.58
443,443,"Organic Tulsi Green Tea - Pomegranate, Stress Relieving",Organic India,215.0,206.4,8.599999999999994,4.0,50 g - (25 Bags x 2 g each),50 g ,50 g ,50.0,4.128
444,444,Drink - Energy,Monster,1500.0,1500.0,0.0,0.0,12x350 ml - Multipack,12*350 ml ,4200 ml,4200.0,0.35714285714285715
445,445,"Mint Tonic Water - Natural Quinine, Balanced Botanical Mixer, Low Calories",Sepoy & Co.,190.0,190.0,0.0,0.0,2x200 ml - Multipack,2*200 ml ,400 ml,400.0,0.475
446,446,Kiwi Juice With Aloe Vera,Alo Frut,240.0,240.0,0.0,0.0,2 x 1 L - (Multipack),2*1 L ,2 L,2000.0,0.12
447,447,"Coffee - Dhivyam Premium, Coarse Ground Filter Coffee",Narasus,264.0,264.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.528
448,448,"Earthy Hazelnut Bold Instant Coffee - Arabica & Robusta Blend, Strong & Smooth",Country Bean,325.0,325.0,0.0,0.0,50 g - Bottle,50 g ,50 g ,50.0,6.5
449,449,Swing Juicier Drink - Yummy Guava,Paper Boat,60.0,60.0,0.0,0.0,6x125 ml - Multipack,6*125 ml ,750 ml,750.0,0.08
450,450,"Wine - Red, De-Alcoholised, Selection",Carl Jung,650.0,650.0,0.0,0.0,750 ml ,750 ml ,750 ml ,750.0,0.8666666666666667
451,451,Filter Coffee - 80:20 Blend,Vs Mani & Co.,160.0,144.0,16.0,10.0,200 g ,200 g ,200 g ,200.0,0.72
452,452,Amla Juice - No Added Sugar,Sri Sri Tattva,260.0,260.0,0.0,0.0,1 L ,1 L ,1 L ,1000.0,0.26
453,453,"Coffee - Chikamagalur Aroma Ribbon Filter Coffee, Using 100% German Machinery to Roast & Grind",Riseup,141.0,141.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,0.564
454,454,Tulsi Cinnamon Giloy Tea - Stress Relieving & Immunity Enhancing,Organic India,195.0,187.2,7.800000000000011,4.0,80 g - (25 Teabags x 2g each),80 g ,80 g ,80.0,2.34
455,455,"Organic Health Mix - Rich In Iron, Fibre, Protein, No Sugar, For Kids & Adults",TummyFriendly Foods,499.0,499.0,0.0,0.0,800 g ,800 g ,800 g ,800.0,0.62375
456,456,Wheat Grass Juice - Daily Fitness Essential,Sri Sri Tattva,320.0,320.0,0.0,0.0,1 L ,1 L ,1 L ,1000.0,0.32
457,457,Green Tea - Lemon Zest,Lipton,340.0,340.0,0.0,0.0,2x25 pcs - Multipack,2*25 pcs ,50 pcs,50.0,6.8
458,458,"Go Grains Multigrain Instant Drink Mix - For Growth & Immunity, Chocolate Flavour",Manna,349.0,244.3,104.69999999999999,30.0,400 g ,400 g ,400 g ,400.0,0.61075
459,459,Green Tea - Honey Lemon,Lipton,155.0,155.0,0.0,0.0,100 g ,100 g ,100 g ,100.0,1.55
460,460,Aloe Vera Juice,Sri Sri Tattva,280.0,280.0,0.0,0.0,1 L ,1 L ,1 L ,1000.0,0.28
461,461,Morning Motivation Instant Coffee - 100% Arabica Beans,TGL Co.,539.0,495.88,43.120000000000005,8.0,100 g - Bottle,100 g ,100 g ,100.0,4.9588
462,462,Orange,Fanta,20.0,20.0,0.0,0.0,250 ml - Bottle,250 ml ,250 ml ,250.0,0.08
463,463,Advanced Nutrition For Diabetes & Pre-Diabetes - Vanilla,Vidavance,780.0,780.0,0.0,0.0,400 g - Jar,400 g ,400 g ,400.0,1.95
464,464,Non Alcoholic Beer - Mint,Coolberg,594.0,519.0,75.0,12.63,6x330 ml - Multipack,6*330 ml ,1980 ml,1980.0,0.26212121212121214
465,465,Non Alcoholic Beer - Cranberry,Coolberg,594.0,519.0,75.0,12.63,6x330 ml - Multipack,6*330 ml ,1980 ml,1980.0,0.26212121212121214
466,466,Easy Pour Coffee Brew Bags Mixed Bag Light To Dark Roast,Blue Tokai,400.0,400.0,0.0,0.0,110 g - (10 Sachets x 11 g each),110 g ,110 g ,110.0,3.6363636363636362
467,467,Breakfast Fusion -  Blend of Arabica & Robusta Coffee Beans,TGL Co.,200.0,180.0,20.0,10.0,200 g ,200 g ,200 g ,200.0,0.9
468,468,"Mixed Veggies Juice - Rich In Calcium & Vitamins, Refreshing Drink",Arka,40.0,40.0,0.0,0.0,200 ml ,200 ml ,200 ml ,200.0,0.2
469,469,"Renergee Shakti Sugar Free Instant Millet Nutrimix - Gluten Free, Provides Energy",GRAMI SUPERFOODS,25.0,25.0,0.0,0.0,0,0,0,,
470,470,"Indian Tonic Water -  Natural Quinine, Balanced Botanical Mixer, Low Calories",Sepoy & Co.,95.0,95.0,0.0,0.0,200 ml ,200 ml ,200 ml ,200.0,0.475
471,471,"Golden Matcha Tea - Gourmet Green Tea, Antioxidant Rich",Sprig,499.0,499.0,0.0,0.0,50 g ,50 g ,50 g ,50.0,9.98
472,472,Non-Alcoholic Wine - Billabong Red,Patritti,700.0,700.0,0.0,0.0,750 ml - Bottle,750 ml ,750 ml ,750.0,0.9333333333333333
473,473,Aloe Vera and Garcinia Juice,Kapiva,1198.0,1138.1,59.90000000000009,5.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.56905
474,474,"Ginger Mint Herbal Green Tea - Cleans The System, Improves Digestion",Vahdam ,499.0,349.3,149.7,30.0,2 g - (50 Bags x 2 g Each),2 g ,2 g ,2.0,174.65
475,475,Classic Colada Mocktails - Authentic Rich & Exotic,&Stirred,60.0,60.0,0.0,0.0,250 ml ,250 ml ,250 ml ,250.0,0.24
476,476,Apple Juice Based Drink,Appy Fizz,35.0,35.0,0.0,0.0,600 ml - Bottle,600 ml ,600 ml ,600.0,0.058333333333333334
477,477,Ayush Kwath - Immunity Booster,Organic India,184.0,176.64,7.360000000000014,4.0,80 g - (25 Teabags x 3.2g each),80 g ,80 g ,80.0,2.2079999999999997
478,478,"Organic Japanese Matcha Tea Powder, Ceremonial Grade",TGL Co.,599.0,551.08,47.91999999999996,8.0,25 g - Bottle,25 g ,25 g ,25.0,22.043200000000002
479,479,Cold Brew Coffee  - Assorted,Sleepy Owl,575.0,575.0,0.0,0.0,250 g - (5 Bags x 50 g each),250 g ,250 g ,250.0,2.3
480,480,Original Tulsi Tea,Organic India,225.0,216.0,9.0,4.0,100 g ,100 g ,100 g ,100.0,2.16
481,481,"Autumn Flush Darjeeling Black Tea - With Intense Flavour, Buttery Texture",Dorje,699.0,349.5,349.5,50.0,250 g ,250 g ,250 g ,250.0,1.398
482,482,Kadak Masala Chai Instant Tea Premix Tea,TGL Co.,399.0,367.08,31.920000000000016,8.0,196 g - (14 Sachets x 14 g each),196 g ,196 g ,196.0,1.8728571428571428
483,483,Instant Coffee - Speciale,Continental,400.0,400.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,2.0
484,484,Orange Kombucha - Probiotic,Borecha,160.0,160.0,0.0,0.0,330 ml ,330 ml ,330 ml ,330.0,0.48484848484848486
485,485,Tea - Camomile,Twinings,335.0,335.0,0.0,0.0,25 g - (25 Bags x 1 g each),25 g ,25 g ,25.0,13.4
486,486,"Plant Protein Powder - CafÃ© Mocha Flavour, For Women, Gut-Friendly Probiotics",Tata GoFit,3099.0,2324.25,774.75,25.0,1 kg - (40 Serves),1 kg ,1 kg ,1000.0,2.32425
487,487,Honey Lemon Green Tea Bags,Vahdam ,225.0,202.5,22.5,10.0,30 g - (15 Pyramid Bags x 2 g each),30 g ,30 g ,30.0,6.75
488,488,"Creamy Vanilla Bold Instant Coffee - 100% Arabica, Rich, Strong & Smooth",Country Bean,325.0,325.0,0.0,0.0,50 g - Bottle,50 g ,50 g ,50.0,6.5
489,489,"Non Alcoholic Premium Mixer - Long Island Tea, Refreshing Flavour, Taste",Bacardi MIX'R,190.0,161.5,28.5,15.0,500 ml ,500 ml ,500 ml ,500.0,0.323
490,490,Instant Tea Bag - Premix With Saffron,Girnar,220.0,220.0,0.0,0.0,10 pcs ,10 pcs ,10 pcs ,10.0,22.0
491,491,Fruit Juice - Aloe Vera Kiwi,Real,240.0,194.0,46.0,19.17,2 x 1 L - (Multipack),2*1 L ,2 L,2000.0,0.097
492,492,"High Protein Nuts & Turmeric Hearty Milk Mix - No Sugar, With Oats, Organic Jowar, Nut Blend Powder",Timios,400.0,312.0,88.0,22.0,250 g - Box,250 g ,250 g ,250.0,1.248
493,493,"Instant Coffee Premix - With Chichory - Just Add Hot Water, Ready In 10 Sec",Jawai,399.0,374.0,25.0,6.27,500 g ,500 g ,500 g ,500.0,0.748
494,494,Black Tea Natural Flavour Rich In Taste,Tata Tea Gold Saffron,200.0,164.0,36.0,18.0,250 g ,250 g ,250 g ,250.0,0.656
495,495,Earl Grey Tea,Twinings,955.0,955.0,0.0,0.0,200 g - (100 Bags x 2 g each),200 g ,200 g ,200.0,4.775
496,496,Karela Jamun Juice,Kapiva,798.0,798.0,0.0,0.0,2x 1 L - Multipack,2*1 L ,2 L,2000.0,0.399
497,497,Kadak Masala Chai Tea Bag,TGL Co.,249.0,229.08,19.919999999999987,8.0,64 g - (16 Bags x 4 g each),64 g ,64 g ,64.0,3.579375
498,498,"Turmeric Spiced Herbal Tea - Supports Immune Function, Improves Energy",Vahdam ,499.0,349.3,149.7,30.0,2 g - (50 Bags x 2 g Each),2 g ,2 g ,2.0,174.65
499,499,"Blue Lagoon Iced Tea With Lemongrass, Butterfly Peaflower & Kaffir Lime",Karma Kettle,350.0,350.0,0.0,0.0,40 g - (20 Bags x 2 g each),40 g ,40 g ,40.0,8.75
500,500,Darjeeling Black Tea Bags,TGL Co.,279.0,256.68,22.319999999999993,8.0,37.5 g - (25 Bags x 1.5 g each),37.5 g ,37.5 g ,37.5,6.8448
501,501,"Magic Milk Mix - Chocolate Swirl, High In Protein, Fibre & Iron, Sugar-Free",Slurrp Farm,299.0,299.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,1.196
502,502,"High Protein Berry Full Hearty Milk Mix - No Sugar, With Oats, Organic Jowar, Strawberry Powder",Timios,390.0,304.2,85.80000000000001,22.0,250 g - Box,250 g ,250 g ,250.0,1.2167999999999999
503,503,"Filter Coffee Bags - Arabica Beans Blend, Antioxidants Rich",Sleepy Owl,350.0,350.0,0.0,0.0,100 g - (Pack of 10),100 g ,100 g ,100.0,3.5
504,504,"iStrong Women's Health Drink - Fortified With Iron, Caramel Flavour",Manna,249.0,186.75,62.25,25.0,200 g ,200 g ,200 g ,200.0,0.93375
505,505,Soft Drink,Pepsi,25.0,22.0,3.0,12.0,250 ml - Can,250 ml ,250 ml ,250.0,0.088
506,506,"Energy Drink - Tropical Flavour, Yellow Edition",RED BULL ,500.0,500.0,0.0,0.0,4x250 ml - Multipack,4*250 ml ,1000 ml,1000.0,0.5
507,507,Sugar Free Juice - Lemon Squash,Diabetics Dezire,338.0,338.0,0.0,0.0,700 ml ,700 ml ,700 ml ,700.0,0.4828571428571429
508,508,Tonic Water - From The Makers Of Bailley,Bombay 99,55.0,55.0,0.0,0.0,250 ml - Can,250 ml ,250 ml ,250.0,0.22
509,509,"Nilgiris Green Tea - Anicca Chamomile, Helps To Feel Relaxed & Calm",Teamonk,750.0,750.0,0.0,0.0,2 g - (50 Bags x 2 g Each),2 g ,2 g ,2.0,375.0
510,510,"Street Chai Of India - Purani Dilli Ki Mithai Chai, Tasting Notes Of Pista, CardamomÂ & Condensed Milk",Tata Tea Premium,145.0,116.0,29.0,20.0,250 g ,250 g ,250 g ,250.0,0.464
511,511,Original Chai Tea Powder,Dorje,249.0,186.75,62.25,25.0,250 g ,250 g ,250 g ,250.0,0.747
512,512,Pomegranate Delight,Tropicana,0.0,0.0,0.0,,500 ml ,500 ml ,500 ml ,500.0,0.0
