Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Cornitos Nacho Crisps - Cheese & Herbs : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Nisarga Yellow Banana Chips : 150 gms,100.0,50.0,150 gm,Nisarga,0.33,50.0,50.0
Balaji Simply Salted Stack Up : 60 gms,60.0,40.0,60 gm,Balaji,0.67,20.0,33.33
Beyond Snack Kerala Banana Chips - Peri Peri : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Tastilo Spicy Jalapeno Nacho Chips : 150 gms,90.0,45.0,150 gm,Tastilo,0.3,45.0,50.0
Cornitos Nacho Crisps- Sizzlin Jalapeno : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Lay's Wafer Style Potato Chips - Salt With Pepper : 48 gms,20.0,15.0,48 gm,Lay's Wafer,0.31,5.0,25.0
Tastilo Nacho Chips - Cheesy Crispy : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Tastilo Nacho Chips - Peri Peri : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Makino Nacho Cheese Chips : 150 gms,90.0,55.0,150 gm,Makino,0.37,35.0,38.89
Beyond Snack Kerala Banana Chips - Salt And Pepper : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Beyond Snack Kerala Banana Chips - Desi Masala : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Wingreens Naan Chips Butter Garlic : 60 gms,40.0,20.0,60 gm,Wingreens,0.33,20.0,50.0
Pringles Potato Chips - Fusion Chutney : 102 gms,115.0,99.0,150 gm,Pringles,0.66,16.0,13.91
Beyond Snack Kerala Banana Chips - Hot & Sweet Chilli : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Tastilo Nacho Chips - Spicy Jalapeno : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Makino Nacho Jalapeno Chips : 150 gms,90.0,50.0,150 gm,Makino,0.33,40.0,44.44
Tastilo Nacho Chips - Mexican Salsa : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Wingreens Naan Chips Chatpata Pudina : 60 gms,40.0,20.0,60 gm,Wingreens,0.33,20.0,50.0
Wayback Moong Baked Chips - Cheese N Herbs : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
Makino Nacho Sweet Chilly Chips :  150 gms,90.0,55.0,150 gm,Makino,0.37,35.0,38.89
Shiv Shakti Sabudana Kurdai : 100 gms,62.0,30.0,100 gm,Shiv,0.3,32.0,51.61
Makino Corn Twist Tomato : 60 gms,35.0,22.0,60 gm,Makino,0.37,13.0,37.14
Cornitos Nacho Crisps - Tomato Mexicana : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Cheetos Twisted Flamin Hot Corn Puffs : 30 gms,160.0,136.0,30 gm,Cheetos,4.53,24.0,15.0
Wayback Barley Baked Chips - Cream N Onion : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
Wayback Jowar Baked Chips - Lemon Ginger : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
Makino Nacho Cheese Chips Can Pack : 107 gms,120.0,75.0,107 gm,Makino,0.7,45.0,37.5
Wayback Bajra Baked Chips - Continental Spicy : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
McCain French Fries Pepper Crunch : 420 gms,150.0,129.0,420 gm,McCain,0.31,21.0,14.0
Tagz Popped Potato Chips Beer `N Barbeque : 56 Gms,110.0,55.0,56 gm,Tagz,0.98,55.0,50.0
Tagz Popped Potato Chips Cream & Onion Divin : 56 Gms,110.0,55.0,56 gm,Tagz,0.98,55.0,50.0
Tagz Popped Potato Chips Masala Trekkin : 56 Gms,110.0,55.0,56 gm,Tagz,0.98,55.0,50.0
Chitale Bandhu Bakarwadi : 250 gms,110.0,95.0,250 gm,Chitale,0.38,15.0,13.64
Chheda's Diet Poha Chivda : 350 gms,150.0,75.0,350 gm,Chheda's,0.21,75.0,50.0
Kurkure Masala Munch Namkeen : 100 gms,30.0,24.0,100 gm,Kurkure,0.24,6.0,20.0
Chheda's Kachori : 170 gms,60.0,39.0,170 gm,Chheda's,0.23,21.0,35.0
Prabhuji Khatta Meetha : 800 gms,220.0,89.0,800 gm,Prabhuji,0.11,131.0,59.55
Prabhuji All In One Mix : 1 kg,280.0,129.0,1 kg,Prabhuji,129.0,151.0,53.93
Vijayalaxmi Multigrain Bhajni Chakli : 500 gms,200.0,100.0,500 Gm,Vijayalaxmi,0.2,100.0,50.0
Babus Laxmi Narayan Best Farsan : 500 gms,140.0,65.0,500 gm,Babus,0.13,75.0,53.57
Farmley Peri Peri Makhana Jar : 83 gms,149.0,109.0,83 gm,Farmley,1.31,40.0,26.85
Farmley Cream & Onion Makhana Jar : 83 gms,199.0,125.0,83 gm,Farmley,1.51,74.0,37.19
Charliee Butter Chakli : 100 gms,76.0,37.0,100 gm,Charliee,0.37,39.0,51.32
Bikaji Falahari Mix : 170 gms,80.0,40.0,170 gm,Bikaji,0.24,40.0,50.0
Agrawals 420 Namkeen All In One : 900 gms,250.0,125.0,900 gm,Agrawals,0.14,125.0,50.0
Haldiram's Fine Bhel Sev : 150 gms,60.0,30.0,150 gm,Haldiram's,0.2,30.0,50.0
Panjwani Roasted Brown Chana : 200 gms,70.0,35.0,200 gm,Panjwani,0.17,35.0,50.0
Rajam Snacks Murukku : 150 gms,86.0,43.0,150 gm,Rajam,0.29,43.0,50.0
Taali Roasted Peanuts - Salted : 150 gms,80.0,40.0,150 gm,Taali,0.27,40.0,50.0
Garden Nylon Sev : 140 gms,55.0,35.0,140 gm,Garden,0.25,20.0,36.36
Sikandar Premium Roasted Peanuts Salted Khari Shing : 200 gms,70.0,59.0,200 gm,Sikandar,0.29,11.0,15.71
Rajam Snacks Chakli : 150 gms,86.0,43.0,150 gm,Rajam,0.36,43.0,50.0
Natural's Bite  Methi Masala Khakhra : 180 gms,75.0,37.0,180 gm,Natural's,0.21,38.0,50.67
Athavale's Jowar Poha Chivada : 200 gms,80.0,65.0,200 gm,Athavale's,0.33,15.0,18.75
Rajam Snacks Masala Murukku : 150 gms,86.0,43.0,150 gm,Rajam,0.29,43.0,50.0
Taali Roasted Peanuts - Nimboo Pudina : 140 gms,80.0,40.0,140 gm,Taali,0.29,40.0,50.0
Panjwani's White Sing : 200 gms,90.0,69.0,200 gm,Panjwani's,0.34,21.0,23.33
Panjwani's Skinwala Sing : 200 gms,88.0,55.0,200 gm,Panjwani's,0.28,33.0,37.5
Charliee Yellow Chana : 180 gms,80.0,40.0,180 gm,Charliee,0.22,40.0,50.0
Athavale's Methi Mathri : 200 gms,80.0,65.0,200 gm,Athavale's,0.33,15.0,18.75
Garden Yellow Banana Chips : 140 gms,99.0,64.0,140 gm,Garden,0.46,35.0,35.35
Panjwani Roasted Black Chana : 200 gms,85.0,65.0,200 gm,Panjwani,0.33,20.0,23.53
Athavale's Bhajani Chakali Sticks : 200 gms,80.0,65.0,200 gm,Athavale's,0.33,15.0,18.75
Makhanawala's Roasted Makhana (Foxnuts) Pudina Punch : 70 gms,130.0,99.0,70 gm,Makhanawala's,1.41,31.0,23.85
Charliee Sev Puri : 185 gms,100.0,50.0,185 gm,Charliee,0.27,50.0,50.0
Makhanawala's Roasted Makhana (Foxnuts) Himalayan Pink Salt : 70 gms,130.0,99.0,70 gm,Makhanawala's,1.41,31.0,23.85
Taali Roasted Peanuts - Masala : 140 gms,80.0,40.0,140 gm,Taali,0.29,40.0,50.0
Athavale's Farali Bhel  : 200 gms,80.0,65.0,200 gm,Athavale's,0.33,15.0,18.75
Garden Mini Bhakarwadi : 145 gms,55.0,35.0,145 gm,Garden,0.24,20.0,36.36
Makhanawala's Roasted Makhana (Foxnuts) Spicy Indiana : 70 gms,130.0,99.0,70 gm,Makhanawala's,1.41,31.0,23.85
Jabsons Methi Khakhra : 180 gms,80.0,64.0,180 gm,Jabsons,0.36,16.0,20.0
Makhanawala's Roasted Makhana (Foxnuts) Peri-Peri : 70 gms,130.0,99.0,70 gm,Makhanawala's,1.41,31.0,23.85
Natural's Bite Jeera Masala Khakhra : 180 gms,75.0,37.0,180 gm,Natural's,0.21,38.0,50.67
Makhanawala's Roasted Makhana (Foxnuts) Cream & Onion : 70 gms,130.0,111.0,70 gm,Makhanawala's,1.59,19.0,14.62
Charliee Tea Time Puri : 185 gms,100.0,50.0,185 gm,Charliee,0.27,50.0,50.0
Babus Laxmi Narayan Best Chiwda  : 250 gms,100.0,85.0,250 gm,Babus,0.34,15.0,15.0
Athavale's Cheese & Pepper Bites : 200 gms,80.0,65.0,200 gm,Athavale's,0.33,15.0,18.75
Taali Roasted Peanuts - Hing Jeera : 140 gms,80.0,40.0,140 gm,Taali,0.29,40.0,50.0
Makhanawala's Roasted Makhana (Foxnuts) Spicy Black Salt : 70 gms,130.0,99.0,70 gm,Makhanawala's,1.41,31.0,23.85
Babus Laxmi Narayan Best Chiwda : 500 gms,200.0,170.0,500 gm,Babus,0.34,30.0,15.0
Natural's Bite Ragi Khakhra : 180 gms,75.0,37.0,180 gm,Natural's,0.21,38.0,50.67
Jabsons Bajra Methi Khakhra : 180 gms,80.0,64.0,180 gm,Jabsons,0.36,16.0,20.0
Too Yumm Karare Baked Masala Munchy : 70 gms,20.0,15.0,70 gm,Too,0.21,5.0,25.0
Natural's Bite Multigrain Khakhra : 180 gms,75.0,37.0,180 gm,Natural's,0.21,38.0,50.67
Jabsons Jeera Khakhra : 180 gms,80.0,64.0,180 gm,Jabsons,0.36,16.0,20.0
Jabsons Chilly Garlic Khakhra : 180 gms,80.0,64.0,180 gm,Jabsons,0.36,16.0,20.0
Natural's Bite Mahableshwar Chana : 200 gms,85.0,42.0,200 gm,Natural's,0.21,43.0,50.59
Jaine Jeera Khakhra : 200 gms,90.0,45.0,200 gm,Jaine,0.23,45.0,50.0
Jabsons Punjabi Masala Khakhra : 180 gms,80.0,64.0,180 gm,Jabsons,0.36,16.0,20.0
Jaine Masala Khakhra : 200 gms,90.0,45.0,200 gm,Jaine,0.23,45.0,50.0
Natural's Bite Roasted Bhakri Methi Bajra : 150 gms,65.0,48.0,150 gm,Natural's,0.32,17.0,26.15
Tip Top Diet Chivada : 180 gms,70.0,35.0,180 gm,Tip,0.19,35.0,50.0
Tip Top Bhakarwadi : 170 gms,70.0,35.0,170 gm,Tip,0.21,35.0,50.0
Tong Garden Roasted Pumpkin Kernels : 200 gms,325.0,265.0,200 gm,Tong,1.32,60.0,18.46
Tip Top Masala Muruku : 180 gms,70.0,35.0,180 gm,Tip,0.19,35.0,50.0
Tong Garden Salted Cocktail Nuts : 400 gms,840.0,690.0,400 gm,Tong,1.73,150.0,17.86
Tip Top Makhania Gathia : 180 gms,70.0,35.0,180 gm,Tip,0.19,35.0,50.0
Tong Garden Salted Peanuts : 160 gms,150.0,120.0,160 gm,Tong,0.75,30.0,20.0
Tong Garden Paprika Pumpkin Seeds : 30 gms,50.0,40.0,30 gm,Tong,1.33,10.0,20.0
Tong Garden Salted Pumpkin Seeds : 30 gms,50.0,42.0,30 gm,Tong,1.4,8.0,16.0
Tong Garden Roasted Sunflower Kernels : 200 gms,175.0,129.0,200 gm,Tong,0.65,46.0,26.29
Tong Garden Honey Sunflower : 30 gms,30.0,22.0,30 gm,Tong,0.73,8.0,26.67
Tong Garden BBQ Sunflower Spicy : 30 gms,30.0,22.0,30 gm,Tong,0.73,8.0,26.67
Tong Garden BBQ Flavour Coated Broad Bean : 500 gms,340.0,270.0,500 gm,Tong,0.54,70.0,20.59
Bedekar Golden Chivda : 200 gms,80.0,58.0,200 gm,Bedekar,0.29,22.0,27.5
Bedekar Special Chivda : 340 gms,125.0,110.0,340 gm,Bedekar,0.32,15.0,12.0
Bedekar Golden Chivda : 340 gms,125.0,110.0,340 gm,Bedekar,0.32,15.0,12.0
Bhagirathi Nylon Poha Chiwada : 180 gms,70.0,45.0,180 gm,Bhagirathi,0.32,25.0,35.71
Bhagirathi Sweet Shankarpali : 180 gms,70.0,49.0,180 gm,Bhagirathi,0.32,21.0,30.0
Bedekar Bhajani Chakali : 500 gms,260.0,234.0,500 gm,Bedekar,0.47,26.0,10.0
Lijjat Udad Papad : 200 gms,77.0,69.0,200 gm,Lijjat,0.34,8.0,10.39
Lijjat Punjabi Masala Papad : 200 gms,89.0,78.0,200 gm,Lijjat,0.39,11.0,12.36
Lijjat Garlic Papad : 200 gms,77.0,64.0,200 gm,Lijjat,0.32,13.0,16.88
Appu Appalam Papad : 150 gms,70.0,35.0,150 gm,Appu,0.23,35.0,50.0
Lijjat Moong Papad : 200 gms,77.0,67.0,200 gm,Lijjat,0.34,10.0,12.99
Lijjat Udad Mini Papad : 200 gms,77.0,69.0,200 gm,Lijjat,0.34,8.0,10.39
Sitashree Laxminarayan Mix Farsan : 500 gms,150.0,87.0,500 gm,Sitashree,0.17,63.0,42.0
Chheda's Bhel Mix : 500 gms,150.0,75.0,500 gm,Chheda's,0.15,75.0,50.0
Yellow Chana : 500 gms,95.0,67.0,500 gm,Yellow,0.13,28.0,29.47
Haldiram's Mini Bhakarwadi : 200 gms,65.0,55.0,200 gm,Haldiram's,0.28,10.0,15.38
Paper Boat Chikki - 6x16 gm : 96 gms,42.0,35.0,96 gm,Paper,0.36,7.0,16.67
Royal Peanut Chikki : 96 gms,38.0,21.0,96 gm,Royal,0.22,17.0,44.74
Haldiram's Tasty Nuts : 350 gms,95.0,85.0,350 gm,Haldiram's,0.24,10.0,10.53
Sitashree Laxminarayan Best Chiwda : 250 gms,108.0,96.0,250 gm,Sitashree,0.35,12.0,11.11
Nutraj Phool Makhana (Fox Nuts) : 200 gms,349.0,225.0,200 gm,Nutraj,1.13,124.0,35.53
Act II Classic Salted Popcorn : 30 gms,10.0,9.0,30 gm,Act,0.3,1.0,10.0
Rajam Snacks Tukda Murukku : 400 gms,167.0,83.0,400 gm,Rajam,0.21,84.0,50.3
Piknik Classic Tomato Chilli Sticks : 60 gms,60.0,30.0,60 gm,Piknik,0.5,30.0,50.0
Makhanawala's Himalayan Pink Salt Makhana : 28 gms,55.0,27.0,28 gm,Makhanawala's,0.96,28.0,50.91
Act II Microwave Popcorn - Butter : 99 gms,75.0,68.0,99 gm,Act,0.69,7.0,9.33
Haldiram's Peanut Chikki Bar : 6x20 gms,30.0,25.0,120 gm,Haldiram's,0.21,5.0,16.67
Act II Golden Sizzle Popcorn : 30 gms,10.0,9.0,30 gm,Act,0.3,1.0,10.0
Sun Yellow Chana : 200 gms,40.0,30.0,200 gm,Sun,0.15,10.0,25.0
Panjwani Without Skin White Sing : 500 gms,205.0,159.0,500 gm,Panjwani,0.32,46.0,22.44
Charliee Plain Salted Peanuts : 180 gms,110.0,55.0,180 gm,Charliee,0.31,55.0,50.0
Act II Movie Theatre Butter Flavour Popcorn : 450 gms,135.0,115.0,450 gm,Act,0.26,20.0,14.81
Jabsons Roasted Peanuts Classic Salted : 160 gms,70.0,55.0,160 gm,Jabsons,0.34,15.0,21.43
Makhanawala's Peri-Peri Makhana : 28 gms,55.0,27.0,28 gm,Makhanawala's,0.96,28.0,50.91
Makhanawala's Cream & Onion Makhana : 28 gms,55.0,27.0,28 gm,Makhanawala's,0.96,28.0,50.91
Natural's Bite Pani Puri Papad : 200 gms,55.0,42.0,200 gm,Natural's,0.21,13.0,23.64
Shiv Shakti's Makhana : 100 gms,175.0,125.0,100 gm,Shiv,1.25,50.0,28.57
Natural's Bite Roasted Yellow Chana : 200 gms,65.0,32.0,200 gm,Natural's,0.16,33.0,50.77
Sitashree Laxminarayan Patal Poha Chiwda : 250 gms,75.0,64.0,250 gm,Sitashree,0.26,11.0,14.67
Rajam Snacks Tukda Masala Murukku : 400 gms,167.0,83.0,400 gm,Rajam,0.21,84.0,50.3
Act II Butter Delite Popcorn : 70 gms,35.0,32.0,70 gm,Act,0.46,3.0,8.57
Charliee Rajgira Laddu : 75 gms,48.0,24.0,75 gm,Charliee,0.32,24.0,50.0
Makhanawala's Spicy Treat Makhana : 28 gms,55.0,27.0,28 gm,Makhanawala's,0.96,28.0,50.91
Act II Butter Pepper Popcorn : 70 gms,35.0,31.0,70 gm,Act,0.44,4.0,11.43
Natural's Bite Sabudana Upwas Papad : 100 gms,60.0,30.0,100 gm,Natural's,0.3,30.0,50.0
Jabsons Roasted Peanuts Nimboo Pudina : 140 gms,70.0,56.0,140 gm,Jabsons,0.4,14.0,20.0
Rajam Snacks Fry Masala Groundnut : 150 gms,53.0,49.0,150 gm,Rajam,0.41,4.0,7.55
Sitashree Laxminarayan Shabuflakes Chiwda: 250 gms,78.0,68.0,250 gm,Sitashree,0.27,10.0,12.82
Sun Rajgira Chikki : 200 gms,50.0,40.0,200 gm,Sun,0.2,10.0,20.0
Shiv Shakti's Sabudana Mini Papad : 200 gms,88.0,65.0,200 gm,Shiv,0.33,23.0,26.14
Makhanawala's Roasted Salt-N-Pepper Foxnuts : 70 gms,130.0,111.0,70 gm,Makhanawala's,1.59,19.0,14.62
Mother's Recipe Sabudana Papad With Sendha Namak : 70 gms,34.0,22.0,70 gm,Mother's,0.31,12.0,35.29
Rajam Snacks Mangalore Mixture : 400 gms,150.0,75.0,400 gm,Rajam,0.19,75.0,50.0
Sitashree Laxminarayan Lite Chiwda : 250 gms,72.0,65.0,250 gm,Sitashree,0.26,7.0,9.72
Jabsons Roasted Peanuts Spicy Masala : 140 gms,70.0,56.0,140 gm,Jabsons,0.4,14.0,20.0
Charliee Rajgira Chikki : 150 gms,96.0,48.0,150 gm,Charliee,0.32,48.0,50.0
Jabsons Roasted Peanuts Hing Jeera : 140 gms,70.0,56.0,140 gm,Jabsons,0.4,14.0,20.0
Act II Tomato Chilli Popcorn : 59 gms,33.0,30.0,59 gm,Act,0.51,3.0,9.09
Act II Cheese Flavour Popcorn : 210 gms,110.0,95.0,210 gm,Act,0.45,15.0,13.64
Jabsons Roasted Peanuts Black Pepper : 140 gms,70.0,56.0,140 gm,Jabsons,0.4,14.0,20.0
Rajam Khara Boondhi : 150 gms,53.0,43.0,150 gm,Rajam,0.36,10.0,18.87
Act II Microwave Popcorn - Original : 99 gms,75.0,65.0,99 gm,Act,0.66,10.0,13.33
Too Yumm Sour Cream & Onion Veggie Stix : 65 gms,35.0,30.0,65 gm,Too,0.46,5.0,14.29
Charliee Peanut Laddu : 150 gms,96.0,48.0,150 gm,Charliee,0.32,48.0,50.0
Act II Tandoori Tadka Popcorn : 70 gms,35.0,32.0,70 gm,Act,0.46,3.0,8.57
Shiv Shakti's Rice Papad : 200 gms,68.0,34.0,200 gm,Shiv,0.17,34.0,50.0
Sun Mix Fryums : 200 gms,25.0,20.0,200 gm,Sun,0.1,5.0,20.0
Charliee Kurmura Laddu : 75 gms,48.0,24.0,75 gm,Charliee,0.32,24.0,50.0
Makhanawala's Roasted Jowar Puffs Spicy Munch : 50 gms,70.0,35.0,50 gm,Makhanawala's,0.7,35.0,50.0
Tip Top Sakkarpara Sweet : 180 gms,70.0,35.0,180 gm,Tip,0.19,35.0,50.0
Makhanawala's Roasted Jowar Puffs Peri Peri : 60 gms,70.0,35.0,60 gm,Makhanawala's,0.58,35.0,50.0
Charliee 3 In 1 Peanut Chikki : 150 gms,96.0,48.0,150 gm,Charliee,0.32,48.0,50.0
Makhanawala's Quinoa Puffs Chilli Chataka : 60 gms,75.0,37.0,60 gm,Makhanawala's,0.62,38.0,50.67
Makhanawala's Roasted Quinoa Puffs Buttery Tomato : 60 gms,75.0,37.0,60 gm,Makhanawala's,0.62,38.0,50.67
Bedekar Shankarpali : 200 gms,70.0,63.0,200 gm,Bedekar,0.32,7.0,10.0
Bedekar Special Chivda : 200 gms,90.0,75.0,200 gm,Bedekar,0.38,15.0,16.67
Godrej Yummiez Frozen Green Peas : 1 kg,280.0,140.0,1 Kg,Godrej,140.0,140.0,50.0
McCain French Fries : 750 gms,205.0,137.0,750 gm,McCain,0.18,68.0,33.17
Safal Green Peas (Frozen) : 1 kg,240.0,149.0,1 kg,Safal,149.0,91.0,37.92
Freshezza Frozen Green Peas : 1 kgs,260.0,130.0,1 kg,Freshezza,130.0,130.0,50.0
McCain Aloo Tikki : 760 gms,225.0,150.0,760 gm,McCain,0.2,75.0,33.33
McCain Potato Cheese Shotz : 400 gms,240.0,220.0,400 gm,McCain,0.55,20.0,8.33
McCain Smiles - Crispy Happy Potatoes : 1.25 kgs,370.0,259.0,1.25 Kg,McCain,207.2,111.0,30.0
McCain Chilli Garlic Potato Bites : 700 gms,240.0,205.0,700 gm,McCain,0.29,35.0,14.58
Godrej Yummiez French Fries : 425 gms,125.0,76.0,425 gm,Godrej,0.18,49.0,39.2
McCain Veggie Fingers : 400 gms,155.0,131.0,400 gm,McCain,0.33,24.0,15.48
McCain Chilli Cheesy Nuggets : 400 gms,240.0,220.0,400 gm,McCain,0.55,20.0,8.33
ITC Master Chef Chilli Garlic Potato Shots : 500 gms,220.0,110.0,500 gm,ITC,0.22,110.0,50.0
McCain Variety Pack - 3 Packs Inside : 550 gms,150.0,128.0,550 gm,McCain,0.23,22.0,14.67
McCain Veggie Burger Patty : 360 gms,135.0,114.0,360 gm,McCain,0.32,21.0,15.56
Prasuma Mixed Veg Frozen Momos : 15 Pieces,210.0,99.0,15 Pcs,Prasuma,6.6,111.0,52.86
Sumeru Piri Piri Masala French Fries - Crispy & Spicy : 800 gms,299.0,149.0,800 gm,Sumeru,0.19,150.0,50.17
McCain Aloo Tikki : 400 gms,120.0,110.0,400 gm,McCain,0.28,10.0,8.33
ITC Master Chef Veggie Pizza Pocket : 340 gms,190.0,138.0,340 gm,ITC,0.41,52.0,27.37
Prasuma Cheesy Spicy Veg Frozen Momos : 24 Pieces,325.0,255.0,24 Pcs,Prasuma,10.63,70.0,21.54
Godrej Yummiez Potato Cheese Bites : 400 gms,245.0,149.0,400 gm,Godrej,0.37,96.0,39.18
Godrej Yummiez Crispy Veg Sticks : 320 gms,140.0,70.0,320 gm,Godrej,0.22,70.0,50.0
Wow Corn & Cheese Momos : 20 Pieces,335.0,167.0,20 U,Wow,8.35,168.0,50.15
Prasuma Vegetable & Paneer Frozen Momos: 24 Pieces,295.0,220.0,24 Pcs,Prasuma,9.17,75.0,25.42
Goeld Paneer Paratha : 320 gms,199.0,99.0,320 gm,Goeld,0.31,100.0,50.25
Mad Sweet Corn Kernels : 725 gms,149.0,74.0,725 gm,Mad,0.31,75.0,50.34
Godrej Yummiez Veg Masala Nuggets : 400 gms,185.0,100.0,400 gm,Godrej,0.25,85.0,45.95
Wow Veg Darjeeling Momos : 20 Pieces,295.0,147.0,20 U,Wow,7.35,148.0,50.17
Sumeru Aloo Paratha : 5x80 gms,155.0,125.0,400 gm,Sumeru,0.31,30.0,19.35
Sumeru Piri Piri Masala French Fries - Crispy & Spicy : 400 gms,169.0,84.0,400 gm,Sumeru,0.21,85.0,50.3
Switz Samosa Dough 50 Sheet : 500 gms,110.0,85.0,500 gm,Switz,0.17,25.0,22.73
Godrej Yummiez Veg Burger Patty : 340 gms,140.0,70.0,340 gm,Godrej,0.21,70.0,50.0
ID Wheat Lachha Paratha : 5 Pieces,95.0,82.0,5 pcs,ID,16.4,13.0,13.68
ITC Master Chef Cheesy Corn Triangles : 320 gms,195.0,145.0,320 gm,ITC,0.45,50.0,25.64
Sumeru Malabar Paratha : 300 gms,129.0,109.0,300 gm,Sumeru,0.36,20.0,15.5
Sumeru Chilli Garlic Masala French Fries : 400 gms,169.0,84.0,400 gm,Sumeru,0.21,85.0,50.3
Sumeru French Fries : 500 gms,165.0,125.0,500 gm,Sumeru,0.25,40.0,24.24
ITC Masterchef Lebanese Falafel Kebab : 230 gms,140.0,115.0,230 gm,ITC,0.5,25.0,17.86
Switz Spring Roll Dough 20 Sheet : 275 gms,110.0,85.0,275 gm,Switz,0.31,25.0,22.73
Goeld Mix Veg Paratha : 320 gms,169.0,74.0,320 gm,Goeld,0.23,95.0,56.21
ITC Master Chef Alphabytes : 450 gms,155.0,121.0,450 gm,ITC,0.27,34.0,21.94
Sumeru Malabar Paratha : 1 kg,329.0,279.0,1 kg,Sumeru,279.0,50.0,15.2
Sumeru Vegetable Spring Rolls : 200 gms,149.0,99.0,200 gm,Sumeru,0.49,50.0,33.56
4700 BC Makka Popcorn : 200 gms,40.0,32.0,200 gm,4700,0.16,8.0,20.0
Act II Butter Delite Flavour Popcorn : 450 gms,135.0,120.0,450 gm,Act,0.27,15.0,11.11
4700 BC Natural Microwave Popcorn : 85 gms,75.0,49.0,85 gm,4700,0.58,26.0,34.67
